symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
VRT,"Vertiv Holdings, LLC",323.39,124216950784,81.25377,36.59587,11.455535,107.38,379.935,308.4474,212.21214,7548009,0.08,2.099
GLW,Corning Incorporated,176.7,152074698752,84.545456,41.835953,9.317732,49.47,211.79,167.8656,112.89755,13072015,0.63,1.136
MRVL,"Marvell Technology, Inc.",219.43,192122617856,75.147255,35.89945,22.02078,61.15,225.14,149.2764,99.15,27578885,0.11,2.251
COHR,Coherent Corp.,362.9,70997508096,172.80952,44.826374,10.753803,76.88,413.0,321.7218,204.41705,7296406,,2.053
SNDK,Sandisk Corporation,1761.43,260849745920,60.240425,10.029708,19.785326,36.87,1804.0,1098.3925,496.8167,16188271,,
ALAB,"Astera Labs, Inc.",320.09,54865965056,217.74829,76.090706,54.786854,84.78,354.53,194.2962,174.4695,5604822,,3.363
CRDO,Credo Technology Group Holding ,226.1,41704132608,124.91714,29.733648,39.04377,66.75,243.21,161.4347,145.75385,7295125,,3.176
ENTG,"Entegris, Inc.",135.73,20671678464,78.91279,29.357563,6.389416,66.72,159.15,135.3612,107.26855,2708404,0.29,1.395
MP,MP Materials Corp.,69.29,12335158272,,60.186752,35.48981,20.6,100.251,60.0506,62.8798,6099682,,1.913
ONTO,Onto Innovation Inc.,255.71,12719928320,118.93488,26.920895,12.3421955,89.4,316.0,259.6956,183.29585,958877,,1.696
NET,"Cloudflare, Inc.",270.82,95725731840,,177.57175,41.10862,158.83,271.2,209.835,204.84435,4369428,,1.673
IBM,International Business Machines,320.42,301158072320,28.33068,23.871574,4.370247,212.34,327.98,240.6258,270.89304,7421407,2.11,0.581
CAMT,Camtek Ltd.,163.09,7509393408,166.41837,36.043343,15.046081,65.57,215.99,175.3668,134.1599,458780,,1.625
PLAB,"Photronics, Inc.",31.87,1879259008,11.760148,15.738272,2.1822162,16.97,56.0,46.2516,33.00775,1153511,,1.507
ACLS,"Axcelis Technologies, Inc.",150.42,4622992384,46.714283,32.44607,5.468143,56.2,171.61,130.2072,96.89585,704990,,1.923
KLIC,"Kulicke and Soffa Industries, I",103.34,5408079360,100.33009,24.391798,7.0397806,31.32,109.88,85.5452,58.0766,733960,0.79,1.67
FORM,"FormFactor, Inc.",115.07,8970255360,132.26437,42.324596,10.681661,26.08,159.09,125.6804,75.0062,1802331,,1.325
VECO,Veeco Instruments Inc.,57.245,3493861632,150.64473,18.799547,5.3313484,19.27,65.43,47.828,34.1043,1319039,,1.36
ACMR,"ACM Research, Inc.",82.05,5670433792,62.633595,36.412777,5.905318,22.61,94.212,55.8841,45.458176,1387244,,1.821
LITE,Lumentum Holdings Inc.,905.0,70409003008,158.77194,49.99815,28.294891,75.62,1085.68,868.1516,461.8784,6501679,,1.533
MKSI,MKS Inc.,317.62,21453365248,66.72688,21.25164,5.267215,81.27,339.0,278.4042,195.2997,1205700,0.31,1.974
AEHR,Aehr Test Systems,93.62,2944653824,,624.1333,65.06803,9.45,112.0,77.4274,39.69675,2951907,,3.271
IONQ,"IonQ, Inc.",69.28,25860141056,177.64102,-66.46137,138.20232,25.89,84.64,44.4906,47.98095,29555120,,3.052
RGTI,"Rigetti Computing, Inc.",25.63,8519381504,,-126.05125,850.5772,10.3,58.15,17.8824,23.35145,36759357,,1.801
QBTS,D-Wave Quantum Inc.,29.18,10809590784,,-77.07954,868.6589,12.75,46.75,19.7662,23.25565,31732130,,1.945
