symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
VRT,"Vertiv Holdings, LLC",300.53,115436216320,75.3208,33.95482,10.645759,110.06,379.935,324.6012,232.48015,6194333,0.08,2.037
GLW,Corning Incorporated,196.79,169364914176,95.067635,46.352825,10.377116,51.32,271.78,188.57,127.20865,14639766,0.51,1.155
MRVL,"Marvell Technology, Inc.",245.29,214579691520,84.29209,39.7043,24.61595,61.44,329.88,223.627,122.63065,42825174,0.1,2.277
COHR,Coherent Corp.,333.36,65218322432,158.74286,40.76905,9.878445,84.35,440.0,369.0208,236.79445,6124511,,2.054
SNDK,Sandisk Corporation,1745.0,258416623616,59.63773,9.342507,19.600775,40.1,2354.39,1610.4528,703.35657,13647262,,
ALAB,"Astera Labs, Inc.",406.42,69663612928,278.36987,94.35522,69.56316,88.185,499.476,304.0702,195.68034,6282409,,3.963
CRDO,Credo Technology Group Holding ,241.91,45110870016,96.37849,27.14287,33.787975,86.485,308.67,217.3474,158.7187,8629088,,3.229
ENTG,"Entegris, Inc.",146.66,22336319488,84.77457,31.721655,6.9039407,67.97,186.94,147.914,115.26735,3258374,0.27,1.363
MP,MP Materials Corp.,53.31,9490363392,,51.426254,27.304977,29.58,100.251,61.7802,61.8255,6025620,,1.841
ONTO,Onto Innovation Inc.,307.58,15300125696,143.72896,30.92739,14.845771,89.4,386.46,293.5242,205.88535,1221566,,1.625
NET,"Cloudflare, Inc.",242.41,86040895488,,153.5572,36.949547,158.83,276.815,225.4518,208.2124,4416100,,1.674
IBM,International Business Machines,289.52,272115580928,25.598583,21.513397,3.9487977,212.34,332.46,255.3422,274.28006,8771408,2.36,0.665
CAMT,Camtek Ltd.,142.5,6648553984,148.4375,31.492897,13.321273,75.75,215.99,177.3072,144.1372,468774,,1.558
PLAB,"Photronics, Inc.",28.86,1701692288,10.6494465,14.287129,1.9760237,18.61,56.0,41.1434,34.0181,1467651,,1.37
ACLS,"Axcelis Technologies, Inc.",144.5,4441048064,44.736843,29.806105,5.2529364,65.64,193.78,159.3842,106.69935,695591,,1.918
KLIC,"Kulicke and Soffa Industries, I",121.33,6349548032,117.79612,28.638058,8.265305,31.32,135.8,105.4378,66.83145,988740,0.61,1.689
FORM,"FormFactor, Inc.",123.59,9634429952,142.05746,44.277653,11.47255,26.08,160.27,135.66,86.80285,2023829,,1.265
VECO,Veeco Instruments Inc.,57.49,3508815104,151.28947,18.880007,5.354166,19.29,86.63,62.0616,39.11985,1642135,,1.39
ACMR,"ACM Research, Inc.",97.77,6756834304,74.63359,43.389114,7.03672,23.03,127.19,78.8719,53.1323,1655864,,1.978
LITE,Lumentum Holdings Inc.,728.32,56663298048,128.0,40.168835,22.770977,88.93,1085.68,898.0808,542.9247,5933751,,1.479
MKSI,MKS Inc.,365.56,24691431424,76.637314,24.195602,6.0622225,88.49,447.62,330.5078,224.15765,1284119,0.24,2.0
AEHR,Aehr Test Systems,69.96,2200469504,,466.39996,48.623787,12.19,126.62,97.2654,48.28245,2947017,,3.183
IONQ,"IonQ, Inc.",49.12,18335019008,125.94872,-46.62465,97.9864,25.89,84.64,54.9556,49.59285,32143900,,3.184
RGTI,"Rigetti Computing, Inc.",17.94,5963234816,,-89.20491,595.3709,12.08,58.15,20.161,23.88025,41732832,,1.902
QBTS,D-Wave Quantum Inc.,22.53,8346130432,,-57.769234,670.6951,12.75,46.75,23.3898,24.1847,35220114,,2.055
MU,"Micron Technology, Inc.",975.56,1101790838784,22.031618,6.519448,12.204964,103.38,1255.0,852.0854,444.34445,51299314,0.05,2.142
KLAC,KLA Corporation,235.55,307693125632,66.53955,46.453976,23.494013,83.224,307.37,208.80595,151.9775,11836762,0.35,1.504
LRCX,Lam Research Corporation,351.41,439463149568,66.554924,43.76116,20.268717,90.94,438.5,321.0816,222.82996,10887143,0.3,1.868
AMAT,"Applied Materials, Inc.",603.04,478789271552,56.836945,36.761448,16.496323,154.47,739.67,490.1856,339.3491,8852954,0.33,1.672
AVGO,Broadcom Inc.,360.45,1714869895168,59.875416,18.583939,22.724043,269.58,495.0,409.429,361.4505,26487914,0.72,1.433
ETN,"Eaton Corporation, PLC",398.52,154745307136,38.956013,25.277819,5.425472,311.92,436.74,406.9712,371.36826,2607561,1.07,1.192
GEV,GE Vernova Inc.,1113.11,299114921984,32.490078,45.353,7.5965695,506.02,1181.95,1042.0962,794.5347,2718451,0.18,1.045
CEG,Constellation Energy Corporatio,239.25,85436653568,20.768229,17.61389,2.8605704,228.63,412.7,278.8336,316.87537,3639566,0.71,1.091
285A.T,KIOXIA HOLDINGS CORPORATION,80330.0,43959988518912,79.80092,,18.805382,2270.0,112700.0,66158.0,27797.064,36181116,,
000660.KS,SK hynix,2265000.0,1607821409910784,,5.1327753,12.172736,245000.0,2987000.0,2021860.0,1032212.5,5157118,0.14,2.027
005930.KS,SamsungElec,300750.0,1974893876871168,,4.804096,5.085491,60200.0,374500.0,294450.0,177202.75,29957441,0.52,1.487
SMH,VanEck Semiconductor ETF,592.29,,39.939964,,,278.55,671.83,579.5048,426.1022,10399985,0.18,
SOXX,iShares PHLX SOX Semiconductor ,566.32,,40.48617,,,232.33,655.95,545.632,376.3711,9017393,0.29,
DRAM,Roundhill Memory ETF,60.63,,28.959143,,,26.14,81.34,57.5104,52.434605,35709859,,
EWY,iShares MSCI South Korea ETF,180.14,,18.248297,,,69.85,220.89,187.1862,128.37805,19020470,0.99,
6857.T,ADVANTEST CORP,28695.0,20798528028672,55.63311,120.70416,18.428446,9744.0,35940.0,28568.6,23330.475,9356260,0.21,1.186
6324.T,HARMONIC DRIVE SYSTEMS,7950.0,752601006080,465.72937,105.03368,12.636651,2316.0,8870.0,6764.8,4351.225,1830349,0.25,1.056
6268.T,NABTESCO CORP,5335.0,625179426816,42.975674,49.4531,1.9542658,2536.0,6113.0,5257.06,4312.895,1248044,1.57,0.993
6481.T,THK CO LTD,7522.0,843019190272,83.37397,38.446205,3.301995,3761.0,8244.0,7108.36,5147.15,1042277,2.48,0.776
6954.T,FANUC CORPORATION,7252.0,6767264661504,40.56382,41.892437,7.8888087,3699.0,8880.0,7449.28,6131.6,6874547,1.49,0.937
NFLX,"Netflix, Inc.",77.65,326968508416,25.048388,20.213196,6.973098,70.86,130.226,84.1192,96.10273,41553940,,1.491
LYV,"Live Nation Entertainment, Inc.",186.59,43421880320,,85.25074,1.6953514,125.34,187.64,166.7958,154.0797,2780422,,1.124
DIS,Walt Disney Company (The),99.5,172782895104,15.92,13.288016,1.7764504,92.19,124.61,102.0998,106.3265,9465404,1.51,1.394
TKO,"TKO Group Holdings, Inc.",194.42,37158772736,72.27509,41.70295,7.3389506,152.29,226.94,195.5794,198.03075,1483437,1.6,0.616
