symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
ACLS,"Axcelis Technologies, Inc.",144.5,4441048064,44.875774,29.806105,5.2529364,65.64,193.78,159.3842,106.69935,695591,,1.873
KLIC,"Kulicke and Soffa Industries, I",121.33,6349548032,117.79612,28.638058,8.265305,31.32,135.8,105.4378,66.83145,988740,0.67,1.632
FORM,"FormFactor, Inc.",123.59,9634429952,142.05746,44.277653,11.47255,26.08,160.27,135.66,86.80285,2023829,,1.217
VECO,Veeco Instruments Inc.,57.49,3508815104,151.28947,18.880007,5.354166,19.29,86.63,62.0616,39.11985,1642135,,1.335
ACMR,"ACM Research, Inc.",97.77,6756834304,74.63359,43.389114,7.03672,23.03,127.19,78.8719,53.1323,1655864,,1.899
LITE,Lumentum Holdings Inc.,728.32,56663298048,128.22536,40.168835,22.770977,88.93,1085.68,898.0808,542.9247,5933751,,1.482
MKSI,MKS Inc.,365.56,24691431424,76.31733,24.114475,6.0622225,88.49,447.62,330.5078,224.15765,1284119,0.27,1.932
AEHR,Aehr Test Systems,69.96,2200469504,,466.39996,48.623787,12.19,126.62,97.2654,48.28245,2947017,,3.183
IONQ,"IonQ, Inc.",49.12,18335019008,125.94872,-46.62465,97.9864,25.89,84.64,54.9556,49.59285,32143900,,3.23
RGTI,"Rigetti Computing, Inc.",17.94,5963234816,,-89.20491,595.3709,12.08,58.15,20.161,23.88025,41732832,,1.957
QBTS,D-Wave Quantum Inc.,22.53,8346130432,,-57.769234,670.6951,12.75,46.75,23.3898,24.1847,35220114,,2.1
MU,"Micron Technology, Inc.",975.56,1101790838784,22.076488,6.519448,12.204964,103.38,1255.0,852.0854,444.34445,51299314,0.05,2.142
KLAC,KLA Corporation,235.55,307693125632,66.72805,46.453976,23.494013,83.224,307.37,208.80595,151.9775,11836762,0.39,1.407
LRCX,Lam Research Corporation,351.41,439463149568,66.17891,43.76116,20.268717,90.94,438.5,321.0816,222.82996,10887143,0.3,1.805
AMAT,"Applied Materials, Inc.",603.04,478789271552,56.836945,36.761448,16.496323,154.47,739.67,490.1856,339.3491,8852954,0.35,1.567
AVGO,Broadcom Inc.,360.45,1714869895168,59.875416,18.583939,22.724043,269.58,495.0,409.429,361.4505,26487914,0.72,1.462
ETN,"Eaton Corporation, PLC",398.52,154745307136,39.070587,25.277819,5.425472,311.92,436.74,406.9712,371.36826,2607561,1.1,1.181
GEV,GE Vernova Inc.,1113.11,299114921984,32.575653,45.353,7.5965695,511.5,1181.95,1042.0962,794.5347,2718451,0.18,0.935
CEG,Constellation Energy Corporatio,239.25,85436653568,20.786272,17.61389,2.8605704,228.63,412.7,278.8336,316.87537,3639566,0.71,1.121
285A.T,KIOXIA HOLDINGS CORPORATION,81590.0,44649515319296,80.94808,,19.100351,2270.0,112700.0,67132.4,28190.04,36639360,,
000660.KS,SK hynix,2343000.0,1663190115024896,,5.3036957,12.591929,245000.0,2987000.0,2047040.0,1042670.0,5240032,0.12,2.027
005930.KS,SamsungElec,318000.0,2088167196852224,,4.998022,5.377178,60200.0,374500.0,296350.0,178359.25,30143115,0.48,1.479
SMH,VanEck Semiconductor ETF,592.29,,39.939964,,,278.55,671.83,579.5048,426.1022,10399985,0.18,
SOXX,iShares PHLX SOX Semiconductor ,566.32,,40.48617,,,232.33,655.95,545.632,376.3711,9017393,0.29,
DRAM,Roundhill Memory ETF,60.63,,28.959143,,,26.14,81.34,57.5104,52.434605,35728011,,
EWY,iShares MSCI South Korea ETF,180.14,,18.248297,,,69.85,220.89,187.1862,128.37805,19020470,0.99,
6857.T,ADVANTEST CORP,29565.0,21429116469248,57.244373,124.36378,18.987175,9744.0,35940.0,28566.7,23406.55,9393316,0.2,1.186
6324.T,HARMONIC DRIVE SYSTEMS,8890.0,841587752960,529.1667,117.45277,14.1307955,2316.0,9150.0,6857.7,4382.41,1881626,0.23,1.062
6268.T,NABTESCO CORP,5820.0,682013884416,46.996124,53.948833,2.1319263,2536.0,6113.0,5276.4,4325.165,1265940,1.45,0.974
6481.T,THK CO LTD,7723.0,865546010624,86.271225,39.473553,3.3902297,3761.0,8244.0,7155.06,5165.75,1044386,2.36,0.768
6954.T,FANUC CORPORATION,7477.0,6977225228288,41.87857,43.19219,8.133566,3699.0,8880.0,7472.94,6147.435,6896468,1.44,0.945
NFLX,"Netflix, Inc.",77.65,326968508416,25.048388,20.196478,6.973098,70.86,129.5,84.1192,96.10273,41553940,,1.517
LYV,"Live Nation Entertainment, Inc.",186.59,43421880320,,85.25074,1.6953514,125.34,187.64,166.7958,154.0797,2780422,,1.107
DIS,Walt Disney Company (The),99.5,172782895104,15.92,13.288016,1.7764504,92.19,124.61,102.0998,106.3265,9465404,1.51,1.398
TKO,"TKO Group Holdings, Inc.",194.42,37158772736,72.54478,41.70295,7.3389506,152.29,226.94,195.5794,198.03075,1483437,1.6,0.621
PLTR,Palantir Technologies Inc.,129.3,309972434944,145.2809,61.7337,59.334248,106.37,207.52,134.5843,157.91475,45887859,,1.562
