symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
VRT,"Vertiv Holdings, LLC",300.53,115436216320,75.70025,33.93641,10.645759,110.06,379.935,324.6012,232.48015,6194333,0.08,2.029
GLW,Corning Incorporated,196.79,169364914176,94.1579,46.352825,10.377116,51.32,271.78,188.57,127.20865,14639766,0.57,1.086
MRVL,"Marvell Technology, Inc.",245.29,214579691520,84.00342,39.7043,24.61595,61.44,329.88,223.627,122.63065,42825174,0.1,2.197
COHR,Coherent Corp.,333.36,65218322432,158.74286,40.59079,9.878445,84.35,440.0,369.0208,236.79445,6124511,,2.037
SNDK,Sandisk Corporation,1745.0,258416623616,59.51569,8.534192,19.600775,40.1,2354.39,1610.4528,703.35657,13647262,,
ALAB,"Astera Labs, Inc.",406.42,69663612928,278.36987,94.35522,69.56316,88.185,499.476,304.0702,195.68034,6282409,,3.671
CRDO,Credo Technology Group Holding ,241.91,45110870016,95.99603,27.14287,33.787975,86.485,308.67,217.3474,158.7187,8629088,,3.202
ENTG,"Entegris, Inc.",146.66,22336319488,84.77457,31.534294,6.9039407,67.97,186.94,147.914,115.26735,3258374,0.27,1.309
MP,MP Materials Corp.,53.31,9490363392,,51.426254,27.304977,29.58,100.251,61.7802,61.8255,6025620,,1.863
ONTO,Onto Innovation Inc.,307.58,15300125696,143.06046,30.92739,14.845771,89.4,386.46,293.5242,205.88535,1221566,,1.545
NET,"Cloudflare, Inc.",242.41,86040895488,,153.5572,36.949547,158.83,276.815,225.4518,208.2124,4416100,,1.671
IBM,International Business Machines,289.52,272115580928,25.643932,21.513397,3.9487977,212.34,332.46,255.3422,274.28006,8771408,2.33,0.675
CAMT,Camtek Ltd.,142.5,6648553984,146.90721,31.492897,13.321273,75.75,215.99,177.3072,144.1372,468774,,1.567
PLAB,"Photronics, Inc.",28.86,1701692288,10.6494465,14.287129,1.9760237,18.61,56.0,41.1434,34.0181,1467651,,1.368
