symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
NFLX,"Netflix, Inc.",74.35,313072877568,23.380503,19.397642,6.4723573,70.86,127.75,80.9406,93.99663,42347841,,
LYV,"Live Nation Entertainment, Inc.",179.85,41853399040,,82.903496,1.6341121,125.34,188.0,171.4398,154.83714,2580424,,1.107
DIS,Walt Disney Company (The),99.71,173147553792,15.555383,13.338202,1.7801995,92.19,123.4,101.0554,105.5638,9686948,1.54,1.398
TKO,"TKO Group Holdings, Inc.",184.78,35316314112,68.94776,39.635178,6.9750605,152.29,226.94,195.8958,197.4768,1455193,1.67,0.621
PLTR,Palantir Technologies Inc.,134.44,322294644736,149.37778,64.18777,61.692936,106.37,207.52,132.5479,155.86896,42712709,,1.562
SKHY,SK hynix Inc.,152.31,1081179963392,22.170305,3.7632496,0.00818556,151.3,194.8,168.61,168.61,73852760,,2.027
ESLOY,EssilorLuxottica,96.47,88673599488,33.96831,21.56718,3.1123374,91.57,186.81,99.9932,137.7515,125959,2.41,0.554
SONY,Sony Group Corporation,21.39,125611958272,20.179245,17.974789,0.010065367,19.32,30.34,21.1908,23.79185,6484482,0.74,0.744
LLY,Eli Lilly and Company,1169.17,1042597281792,41.489357,26.03371,14.430612,623.78,1249.45,1105.6172,1004.98883,3256074,0.59,0.506
NVO,Novo Nordisk A/S,51.48,227738796032,12.14151,15.230092,0.69474924,35.12,71.8,45.9702,47.418,14053861,3.56,0.36
