symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
AAPL,Apple Inc.,338.19,4967117094912,41.142334,35.02048,11.00278,201.5,344.57,308.5888,277.21344,55898341,0.32,1.097
AXP,American Express Company,331.5,223865208832,20.103092,16.488478,3.1568995,288.34,387.49,332.5008,339.27274,3194029,1.13,1.045
KO,Coca-Cola Company (The),89.08,383311249408,27.750778,25.275656,7.6464972,65.35,90.92,81.7564,75.8708,17596583,2.4,
BAC,Bank of America Corporation,61.07,433388814336,14.471564,11.576242,3.8039587,44.75,62.99,56.8014,53.435,36347637,2.04,1.175
CVX,Chevron Corporation,191.86,382107942912,32.684837,15.124796,2.0572195,146.49,214.71,182.834,174.93675,9204982,3.8,0.488
GOOGL,Alphabet Inc.,336.71,4117941452800,16.751741,22.861042,9.235827,187.82,408.61,360.634,325.2273,32956201,0.26,1.247
OXY,Occidental Petroleum Corporatio,56.03,55729381376,75.71622,14.262658,2.6388266,38.8,67.45,54.9106,50.0946,10559432,1.93,0.15
MCO,Moody's Corporation,483.24,83687981056,30.760025,25.605537,10.25588,402.28,546.88,466.2812,471.74646,1017596,0.85,1.335
CB,Chubb Limited,361.9,139620974592,12.888177,12.4188385,2.268821,264.1,365.91,336.9556,317.8737,1803874,1.12,0.406
KHC,The Kraft Heinz Company,27.62,32751179776,,13.161406,1.3105714,21.035,29.19,24.3448,23.95655,14212198,5.86,0.077
DAL,"Delta Air Lines, Inc.",86.25,56719986688,14.819587,9.737928,0.83061177,50.45,95.68,83.9758,70.62395,7578783,0.87,1.288
BRK-B,Berkshire Hathaway Inc. New,509.16,1098183671808,15.149062,23.603334,2.925416,455.19,516.85,490.3298,490.1939,4984414,,0.607
