symbol,shortName,currentPrice,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,dividendYield,beta
VRT,"Vertiv Holdings, LLC",318.86,122476929024,79.91478,35.97539,11.295067,118.7,379.935,324.7378,236.84834,6227138,0.08,2.029
GLW,Corning Incorporated,190.89,164287152128,91.77404,44.69696,10.065998,51.32,271.78,190.8154,129.97646,14514108,0.59,1.086
MRVL,"Marvell Technology, Inc.",235.81,211649953792,81.31379,38.169804,24.279858,61.44,329.88,231.4696,126.76515,42481466,0.1,2.197
COHR,Coherent Corp.,324.5,63484960768,153.79147,39.457397,9.615897,84.35,440.0,368.3984,242.18935,5986090,,2.037
SNDK,Sandisk Corporation,1915.92,283728150528,65.367455,9.370103,21.520643,40.1,2354.39,1688.2438,745.22644,13411922,,
ALAB,"Astera Labs, Inc.",412.97,70786334720,277.16107,95.87588,70.684265,88.185,499.476,325.1666,199.76366,6198062,,3.671
CRDO,Credo Technology Group Holding ,257.79,48072138752,103.116005,28.924643,36.005962,86.485,308.67,224.8992,161.01495,8701680,,3.202
ENTG,"Entegris, Inc.",145.35,22136805376,84.01734,31.252623,6.8422728,67.97,186.94,147.0344,116.4704,3309082,0.28,1.309
MP,MP Materials Corp.,52.21,9294538752,,50.787937,26.741566,44.43,100.251,60.5914,61.3708,6013159,,1.863
ONTO,Onto Innovation Inc.,321.44,15989572608,149.50697,32.321026,15.514744,89.4,386.46,294.2346,210.39035,1270020,,1.545
NET,"Cloudflare, Inc.",268.4,95265775616,,170.02084,40.911095,158.83,280.14,231.3216,209.32774,4130085,,1.671
IBM,International Business Machines,287.56,270273413120,25.447786,21.350353,3.922065,212.34,332.46,261.6332,275.136,9033374,2.35,0.675
NVDA,NVIDIA Corporation,210.96,5109662089216,32.25688,16.494099,20.157173,162.02,236.54,209.199,191.67046,158897596,0.47,2.211
CAMT,Camtek Ltd.,143.79,6708740608,149.78125,31.777988,13.441865,75.75,215.99,172.269,145.2775,487267,,1.567
PLAB,"Photronics, Inc.",29.9,1763014528,11.03321,14.80198,2.0472317,18.61,56.0,38.976,34.13145,1500888,,1.368
ACLS,"Axcelis Technologies, Inc.",143.35,4405704192,44.380806,29.568895,5.211131,65.64,193.78,159.3606,107.79715,693414,,1.873
KLIC,"Kulicke and Soffa Industries, I",113.41,5935071744,110.106804,26.768665,7.725775,31.32,135.8,107.9878,68.55205,1011275,0.72,1.632
FORM,"FormFactor, Inc.",117.52,9161243648,135.08046,42.103,10.909086,26.08,160.27,132.5706,88.806,2075304,,1.217
VECO,Veeco Instruments Inc.,57.4,3503322112,151.05264,18.85045,5.345784,19.29,86.63,62.6066,39.80505,1648217,,1.335
ACMR,"ACM Research, Inc.",103.0,7118277120,78.62596,45.71013,7.4131346,23.03,127.19,83.5301,54.76695,1687898,,1.899
LITE,Lumentum Holdings Inc.,802.01,62396379136,140.95079,44.124527,25.0749,90.98,1085.68,887.518,557.354,5721493,,1.482
MKSI,MKS Inc.,368.58,24895414272,76.94781,24.21386,6.112304,88.49,447.62,338.8704,230.0584,1312504,0.27,1.932
AEHR,Aehr Test Systems,72.6,2283506176,,483.99997,50.45865,12.93,126.62,95.191,49.31285,2511758,,3.183
IONQ,"IonQ, Inc.",42.86,15998350336,109.89744,-40.682667,85.498726,25.89,84.64,55.0824,49.04325,32033511,,3.23
RGTI,"Rigetti Computing, Inc.",16.54,5497876480,,-82.24355,548.90936,12.165,58.15,20.1572,23.68695,41746698,,1.957
QBTS,D-Wave Quantum Inc.,20.09,7442243584,,-51.51282,598.0588,12.75,46.75,23.581,24.1218,35231093,,2.1
MU,"Micron Technology, Inc.",979.3,1106014765056,22.126074,6.5444407,12.251754,103.38,1255.0,899.0474,464.48355,51215483,0.05,2.142
KLAC,KLA Corporation,231.52,302428848128,65.40113,45.429306,23.092058,83.224,307.37,212.90305,155.0659,12281658,0.4,1.407
LRCX,Lam Research Corporation,350.33,438112518144,66.22495,43.346134,20.206423,90.94,438.5,329.2894,228.2558,11135416,0.3,1.805
AMAT,"Applied Materials, Inc.",602.5,478360567808,56.839622,36.16898,16.481552,154.47,739.67,508.1566,349.2336,9231464,0.36,1.567
AVGO,Broadcom Inc.,399.97,1902889402368,66.66167,20.621496,25.215523,269.58,495.0,406.4504,362.4465,26414896,0.65,1.462
