symbol,name,screens,screen_count,discovery_score,price,market_cap,trailing_pe,forward_pe,price_to_book,change_52w_pct,avg_volume_3m,exchange,quote_time
FIZZ,National Beverage Corp.,fallen_profitable,1,27.16,31.07,2908528128,15.85204,15.131666,4.539743,-33.240223,431027,NasdaqGS,1784318401
GRBK,"Green Brick Partners, Inc.",cashflow_value,1,26.81,72.75,3138766080,10.714286,11.668003,1.6796731,15.220141,243527,NYSE,1784318402
PEGA,Pegasystems Inc.,fallen_profitable,1,26.48,32.16,5374452224,17.383783,10.583577,7.688262,-37.358784,2253625,NasdaqGS,1784318401
HAPN,"Happen, Inc.",cashflow_value,1,26.4,19.23,2218198272,12.82,8.293905,1.4578121,50.1171,2310166,NasdaqGS,1784318401
KNSL,"Kinsale Capital Group, Inc.",fallen_profitable,1,26.38,343.99,7933379072,15.153744,15.866696,4.032235,-27.736229,325182,NYSE,1784318402
AEO,"American Eagle Outfitters, Inc.",cashflow_value,1,26.27,17.03,2853773824,10.710692,8.754209,1.7345693,71.67338,5168964,NYSE,1784318561
QNST,"QuinStreet, Inc.",cashflow_value,1,26.27,16.78,963933312,14.982143,11.015342,3.1056821,9.102726,798161,NasdaqGS,1784318400
ERO,Ero Copper Corp.,cashflow_value,1,26.23,24.13,2516227328,8.617857,5.125438,2.291548,66.87414,1252614,NYSE,1784318402
PARR,"Par Pacific Holdings, Inc.",cashflow_value,1,26.21,76.25,3823501056,8.635334,7.254098,2.478224,135.41217,1085980,NYSE,1784318403
PAYC,"Paycom Software, Inc.",fallen_profitable,1,26.13,147.94,6898012672,17.122684,12.042191,8.298649,-35.096954,970582,NYSE,1784318440
HMN,Horace Mann Educators Corporation,cashflow_value,1,26.02,52.61,2124453504,13.218593,10.404079,1.4452106,28.442383,257475,NYSE,1784318402
ARLP,"Alliance Resource Partners, L.P.",cashflow_value,1,25.84,24.42,3141847808,12.852632,8.518595,1.7802726,-9.016395,339991,NasdaqGS,1784318401
BZ,Kanzhun Limited,fallen_profitable,1,25.73,14.91,6662654976,14.066038,10.303684,2.2818067,-21.027542,3800109,NasdaqGS,1784318401
RLX,RLX Technology Inc.,asset_value,1,25.72,2.05,2505621760,18.636364,12.328523,1.0775762,-9.292036,2589248,NYSE,1784318402
ANF,Abercrombie & Fitch Co.,cashflow_value,1,25.51,95.24,4231676160,9.210832,8.118058,3.1577203,-0.07344484,1337012,NYSE,1784318403
DLB,"Dolby Laboratories, Inc.",fallen_profitable,1,25.33,49.07,4641929216,19.472221,10.698394,1.7729522,-34.669155,875027,NYSE,1784318402
MTX,Minerals Technologies Inc.,cashflow_value,1,25.16,74.91,2322864384,14.7170925,10.495273,1.3441836,26.94459,234220,NYSE,1784318402
EXLS,"ExlService Holdings, Inc.",fallen_profitable,1,24.74,28.16,4302367232,17.936304,11.166848,5.5324163,-33.881195,2635553,NasdaqGS,1784318401
BTU,Peabody Energy Corporation,asset_value,1,24.18,22.44,2733955840,,5.9562044,0.7819906,41.043365,3225780,NYSE,1784318403
OPCH,"Option Care Health, Inc.",fallen_profitable,1,23.41,21.74,3413777920,16.984375,10.639756,2.5261445,-25.471378,3363258,NasdaqGS,1784318400
ESTC,Elastic N.V.,fallen_profitable,1,23.28,61.59,6402380800,17.956268,15.875594,5.0541606,-29.092794,2028117,NYSE,1784318473
BSM,"Black Stone Minerals, L.P.",cashflow_value,1,22.92,14.31,3040865536,11.267717,12.23077,3.9323993,19.25,345803,NYSE,1784318402
FHI,"Federated Hermes, Inc.",cashflow_value,1,22.75,58.69,4455313920,11.396116,10.114606,3.5110073,23.870827,747190,NYSE,1784318402
FRSH,Freshworks Inc.,fallen_profitable,1,22.57,10.89,3010368256,17.852459,13.631244,2.9802957,-26.269466,17159525,NasdaqGS,1784318401
ACAD,ACADIA Pharmaceuticals Inc.,cashflow_value,1,22.52,25.6,4383638528,11.583711,28.73531,3.509253,14.901257,1592872,NasdaqGS,1784318400
WLY,"John Wiley & Sons, Inc.",cashflow_value,1,21.68,50.97,2587255296,12.252404,9.616981,3.0557554,29.529858,495929,NYSE,1784318402
SIG,Signet Jewelers Limited,cashflow_value,1,21.64,91.65,3560582656,12.944916,7.481211,1.9178456,11.252737,863937,NYSE,1784318588
LCII,LCI Industries,cashflow_value,1,21.49,108.17,2629775872,13.256127,11.004069,1.8936661,11.148787,459301,NYSE,1784318403
OII,"Oceaneering International, Inc.",cashflow_value,1,21.27,42.28,4217229056,12.583333,19.854239,3.8107255,103.562836,1069298,NYSE,1784318402
MD,"Pediatrix Medical Group, Inc.",cashflow_value,1,21.14,26.13,2145845504,12.684466,11.074099,2.3830369,106.72469,838958,NYSE,1784318402
MGNI,"Magnite, Inc.",fallen_profitable,1,21.04,19.0,2721085184,18.09524,15.372169,2.9664323,-22.194921,2905890,NasdaqGS,1784318401
TDW,Tidewater Inc.,cashflow_value,1,21.02,75.82,3770577920,12.785835,12.105247,2.7555878,57.859673,795233,NYSE,1784318402
SBLK,Star Bulk Carriers Corp.,asset_value,1,20.67,24.9,2777120000,19.92,6.935469,1.1427785,35.1058,1252053,NasdaqGS,1784318400
CAAP,Corporación América Airports S.A.,cashflow_value,1,19.16,24.83,4052819712,14.270115,10.899769,2.2448242,26.168705,220633,NYSE,1784318403
