date,Open,High,Low,Close,Volume
2025-05-07 00:00:00-04:00,66.1700,67.0600,60.3800,66.2400,5554500
2025-05-08 00:00:00-04:00,67.8150,68.2500,64.8900,65.6600,4051900
2025-05-09 00:00:00-04:00,66.0700,66.8300,63.9800,64.8700,2324300
2025-05-12 00:00:00-04:00,70.7500,72.1500,69.2600,71.7300,3730000
2025-05-13 00:00:00-04:00,71.8000,75.2500,71.3750,74.5100,2888000
2025-05-14 00:00:00-04:00,74.9400,78.6000,74.8200,78.2900,4938300
2025-05-15 00:00:00-04:00,76.8700,79.0000,76.5500,77.7600,2523900
2025-05-16 00:00:00-04:00,77.9800,78.9300,75.7600,77.9500,2352700
2025-05-19 00:00:00-04:00,75.8800,77.9500,75.7500,77.8700,1177900
2025-05-20 00:00:00-04:00,77.0200,77.4300,76.2800,77.1100,1028400
2025-05-21 00:00:00-04:00,76.9300,78.4900,75.1800,75.9500,1719000
2025-05-22 00:00:00-04:00,75.7000,76.9000,75.2900,75.8800,1237100
2025-05-23 00:00:00-04:00,73.8900,75.9000,73.5900,75.7700,1133200
2025-05-27 00:00:00-04:00,77.3950,79.6800,76.6800,78.3700,1438300
2025-05-28 00:00:00-04:00,78.6400,79.2000,76.8750,77.9000,1531300
2025-05-29 00:00:00-04:00,80.0000,80.0000,75.1200,75.4100,1750100
2025-05-30 00:00:00-04:00,74.0600,74.4900,71.0400,72.2800,3313600
2025-06-02 00:00:00-04:00,73.0000,76.2600,72.2900,75.8600,1800300
2025-06-03 00:00:00-04:00,76.1200,79.3500,75.6200,77.6500,1851100
2025-06-04 00:00:00-04:00,83.7550,84.0390,79.4950,80.2800,4864900
2025-06-05 00:00:00-04:00,82.0100,84.9900,81.1050,81.6400,3461800
2025-06-06 00:00:00-04:00,83.0000,83.4500,80.4350,81.4600,1694600
2025-06-09 00:00:00-04:00,82.2700,83.3700,80.6650,82.1100,1273900
2025-06-10 00:00:00-04:00,83.7400,83.7400,80.3900,81.9600,2069000
2025-06-11 00:00:00-04:00,83.6700,84.2000,81.0400,82.3600,1799700
2025-06-12 00:00:00-04:00,82.3500,86.4200,82.0000,85.5000,1996900
2025-06-13 00:00:00-04:00,83.2000,84.5000,81.9300,82.4650,1667300
2025-06-16 00:00:00-04:00,83.4200,88.2100,83.4200,85.7800,2361100
2025-06-17 00:00:00-04:00,84.6400,87.1300,83.5900,86.3450,1870600
2025-06-18 00:00:00-04:00,87.3500,90.2000,86.5750,88.4600,2434800
2025-06-20 00:00:00-04:00,90.3450,90.6500,88.0820,89.6600,2104900
2025-06-23 00:00:00-04:00,88.8800,89.8900,86.6300,89.1600,1537500
2025-06-24 00:00:00-04:00,90.2600,92.5250,89.6100,91.8100,2091000
2025-06-25 00:00:00-04:00,92.9300,93.3600,91.2250,91.7700,1381300
2025-06-26 00:00:00-04:00,92.5300,94.9400,92.4000,94.7100,1708900
2025-06-27 00:00:00-04:00,94.6950,95.4300,92.7700,94.7500,2785300
2025-06-30 00:00:00-04:00,95.0000,96.6800,94.2600,95.0600,2980500
2025-07-01 00:00:00-04:00,92.9700,93.6100,88.7400,91.4900,2937700
2025-07-02 00:00:00-04:00,90.1400,91.2900,88.3700,91.2400,3004500
2025-07-03 00:00:00-04:00,91.1400,93.6750,90.9650,92.7500,1019500
2025-07-07 00:00:00-04:00,91.6600,92.4750,89.8200,91.0800,1561300
2025-07-08 00:00:00-04:00,92.9000,94.0800,90.6600,91.3100,1714700
2025-07-09 00:00:00-04:00,91.4600,91.7650,89.0160,90.4400,2333700
2025-07-10 00:00:00-04:00,90.7950,92.7800,88.9300,92.6200,2148600
2025-07-11 00:00:00-04:00,92.1900,94.1500,91.9250,92.9900,1403100
2025-07-14 00:00:00-04:00,92.7500,93.8600,90.9800,92.2400,1840700
2025-07-15 00:00:00-04:00,95.8500,98.5500,94.3210,98.1400,3303500
2025-07-16 00:00:00-04:00,98.1000,99.6800,95.1800,99.6300,2048600
2025-07-17 00:00:00-04:00,99.6300,103.0200,99.2900,102.6400,2921900
2025-07-18 00:00:00-04:00,103.4900,103.9000,100.4100,102.2200,1800500
2025-07-21 00:00:00-04:00,102.2200,105.4700,100.5300,103.8400,3612100
2025-07-22 00:00:00-04:00,103.1300,103.4800,97.5510,99.6300,3131100
2025-07-23 00:00:00-04:00,101.6700,104.6100,99.9200,102.1300,2827200
2025-07-24 00:00:00-04:00,102.5200,103.6500,101.8000,102.8500,1186600
2025-07-25 00:00:00-04:00,102.8800,104.6300,101.2200,104.5200,914400
2025-07-28 00:00:00-04:00,105.0200,107.2400,104.5000,107.1700,1264800
2025-07-29 00:00:00-04:00,109.3800,112.1000,108.0100,109.4800,2399200
2025-07-30 00:00:00-04:00,109.4000,111.2400,107.8900,109.8500,1927900
2025-07-31 00:00:00-04:00,110.6400,114.1200,109.6500,110.0800,2170300
2025-08-01 00:00:00-04:00,103.8400,108.4500,101.6100,106.6800,2431700
2025-08-04 00:00:00-04:00,108.7950,111.2000,107.0200,111.1300,1427800
2025-08-05 00:00:00-04:00,111.7300,111.9900,106.1600,108.1500,1648100
2025-08-06 00:00:00-04:00,109.5750,110.9200,108.3400,110.0100,2283400
2025-08-07 00:00:00-04:00,111.0000,113.0000,108.7100,111.1300,1339200
2025-08-08 00:00:00-04:00,112.8000,116.3500,112.1900,116.2700,2694600
2025-08-11 00:00:00-04:00,116.6900,119.4100,114.0100,115.0300,4315100
2025-08-12 00:00:00-04:00,116.1950,120.3000,116.0300,119.6600,5861200
2025-08-13 00:00:00-04:00,123.3000,129.9800,117.9300,120.2300,9253200
2025-08-14 00:00:00-04:00,117.3100,121.9900,112.5600,114.6200,5324000
2025-08-15 00:00:00-04:00,113.6100,116.5000,112.2000,115.8600,3165300
2025-08-18 00:00:00-04:00,116.4500,119.1700,115.0000,118.9800,2973800
