date,Open,High,Low,Close,Volume
2025-05-07 00:00:00-04:00,8.1700,8.3600,8.0600,8.3600,220200
2025-05-08 00:00:00-04:00,8.4500,8.6400,8.2700,8.4300,309000
2025-05-09 00:00:00-04:00,8.4300,8.6200,8.1700,8.4500,238900
2025-05-12 00:00:00-04:00,8.9700,9.3300,8.8300,9.1100,581700
2025-05-13 00:00:00-04:00,9.1600,9.3400,8.9500,9.2500,501200
2025-05-14 00:00:00-04:00,9.3900,9.5900,9.2500,9.3900,603500
2025-05-15 00:00:00-04:00,9.2400,9.3500,9.0600,9.2900,301500
2025-05-16 00:00:00-04:00,9.2800,9.5500,9.1300,9.2900,493400
2025-05-19 00:00:00-04:00,9.0800,9.1500,8.9200,9.0400,371600
2025-05-20 00:00:00-04:00,9.0400,9.1400,8.8300,8.9400,273300
2025-05-21 00:00:00-04:00,8.8000,8.9600,8.3100,8.4700,460100
2025-05-22 00:00:00-04:00,8.4900,9.0000,8.4300,8.8300,467700
2025-05-23 00:00:00-04:00,8.5600,9.0200,8.5300,8.8500,371200
2025-05-27 00:00:00-04:00,9.1600,10.1400,9.1400,9.9000,1391400
2025-05-28 00:00:00-04:00,9.9500,10.4500,9.8600,10.0600,1013800
2025-05-29 00:00:00-04:00,10.4100,10.4500,9.8300,9.9600,531300
2025-05-30 00:00:00-04:00,9.8000,9.8200,9.3800,9.5400,444500
2025-06-02 00:00:00-04:00,9.5200,9.6900,9.3800,9.6600,296500
2025-06-03 00:00:00-04:00,9.7600,10.2700,9.4500,10.2400,444600
2025-06-04 00:00:00-04:00,10.3500,11.8400,10.2700,11.6900,1911500
2025-06-05 00:00:00-04:00,11.7100,11.8600,11.0000,11.0600,1069600
2025-06-06 00:00:00-04:00,11.3900,11.5900,11.0800,11.3400,649600
2025-06-09 00:00:00-04:00,11.6000,12.5100,11.5800,11.7800,1288400
2025-06-10 00:00:00-04:00,11.9900,12.6100,11.8600,12.2100,959500
2025-06-11 00:00:00-04:00,12.3400,12.4100,11.5300,11.6400,1704700
2025-06-12 00:00:00-04:00,11.5200,12.3700,11.3900,11.9200,1101600
2025-06-13 00:00:00-04:00,11.5400,11.7000,11.0600,11.3200,859700
2025-06-16 00:00:00-04:00,11.7000,12.1500,11.6000,11.7800,855600
2025-06-17 00:00:00-04:00,11.7600,12.1200,11.3200,11.3500,762300
2025-06-18 00:00:00-04:00,11.3500,11.8700,11.2000,11.5100,650300
2025-06-20 00:00:00-04:00,11.6500,11.6600,10.8900,11.1500,684100
2025-06-23 00:00:00-04:00,11.1000,11.4100,10.8900,11.2500,619100
2025-06-24 00:00:00-04:00,11.5100,12.0700,11.5100,11.9700,816100
2025-06-25 00:00:00-04:00,12.2100,12.2600,11.6100,11.6700,583000
2025-06-26 00:00:00-04:00,11.8000,13.0400,11.7600,12.7500,1759600
2025-06-27 00:00:00-04:00,13.2100,13.3800,11.9900,12.5200,1916300
2025-06-30 00:00:00-04:00,12.8500,13.4700,12.7500,12.9300,1633000
2025-07-01 00:00:00-04:00,12.6600,14.3500,12.4500,14.1100,2636100
2025-07-02 00:00:00-04:00,14.5500,15.1300,14.2500,15.1300,2852500
2025-07-03 00:00:00-04:00,15.6000,15.8700,15.0800,15.6000,1630100
2025-07-07 00:00:00-04:00,15.4200,15.5500,14.5800,14.8200,2219700
2025-07-08 00:00:00-04:00,15.2200,16.1700,14.7600,15.1700,4616300
2025-07-09 00:00:00-04:00,12.4400,13.9900,12.1900,13.2900,6628800
2025-07-10 00:00:00-04:00,13.3000,15.1500,13.1600,14.5900,2573100
2025-07-11 00:00:00-04:00,14.4800,14.7600,14.0500,14.1100,1301100
2025-07-14 00:00:00-04:00,13.6800,13.9900,12.9300,13.8600,1355800
2025-07-15 00:00:00-04:00,14.0900,14.6400,14.0300,14.0500,1211600
2025-07-16 00:00:00-04:00,14.0500,14.7900,14.0100,14.7800,887400
2025-07-17 00:00:00-04:00,14.7800,15.6900,14.7200,15.4800,1058600
2025-07-18 00:00:00-04:00,15.6600,15.8200,14.9900,15.0700,856200
2025-07-21 00:00:00-04:00,15.0400,16.7700,15.0400,16.4500,1614000
2025-07-22 00:00:00-04:00,19.2500,21.8200,19.0600,20.1000,6844100
2025-07-23 00:00:00-04:00,20.0600,23.0000,19.9900,22.1800,3237200
2025-07-24 00:00:00-04:00,22.1800,22.1800,20.8800,21.3200,1442100
2025-07-25 00:00:00-04:00,21.2000,21.9600,20.8000,21.7400,919100
2025-07-28 00:00:00-04:00,21.9900,22.4900,20.6300,20.9100,1052600
2025-07-29 00:00:00-04:00,21.0000,21.3900,18.6100,18.7800,1708000
2025-07-30 00:00:00-04:00,18.7400,18.9000,17.5600,17.8400,1136000
2025-07-31 00:00:00-04:00,17.6200,18.3400,16.8200,16.9000,1293300
2025-08-01 00:00:00-04:00,16.2500,17.2500,15.9400,16.8400,1166500
2025-08-04 00:00:00-04:00,17.5800,19.1300,17.4500,19.0300,1375400
2025-08-05 00:00:00-04:00,19.1000,19.5100,18.0100,18.4800,782100
2025-08-06 00:00:00-04:00,18.2300,18.3300,17.6300,18.1800,521700
2025-08-07 00:00:00-04:00,18.8700,19.4900,18.6700,18.8100,705200
2025-08-08 00:00:00-04:00,18.9100,19.2500,17.7800,18.2000,994600
2025-08-11 00:00:00-04:00,18.2100,18.4800,17.2800,17.4800,798200
2025-08-12 00:00:00-04:00,17.7200,19.5900,17.4700,19.4500,990800
2025-08-13 00:00:00-04:00,19.8600,20.7500,19.5600,20.1600,1225800
